,Country,Freedom to make life choices,GDP per Capita,GDP per capita,Generosity,Government Trust,Happiness Rank,Happiness Score,Life Expectancy,Social support,Year
3,Norway,0.59609,1.57744,,0.37895,0.35775999999999997,4,7.497999999999999,0.79579,1.1269,2016
4,Finland,0.57104,1.40598,,0.25492,0.41003999999999996,5,7.412999999999999,0.81091,1.1346399999999999,2016
5,Canada,0.5737,1.44015,,0.44833999999999996,0.31329,6,7.404,0.8276,1.0961,2016
6,Netherlands,0.55211,1.46468,,0.47416,0.29927,7,7.3389999999999995,0.8123100000000001,1.02912,2016
7,New Zealand,0.5814699999999999,1.36066,,0.49401000000000006,0.41903999999999997,8,7.334,0.83096,1.17278,2016
8,Australia,0.5683699999999999,1.4444299999999999,,0.47407,0.32331,9,7.313,0.8512,1.10476,2016
9,Sweden,0.58218,1.45181,,0.38254,0.40867,10,7.291,0.83121,1.08764,2016
10,Israel,0.36432,1.33766,,0.32288,0.08728,11,7.267,0.8491700000000001,0.9953700000000001,2016
11,Austria,0.54355,1.45038,,0.32865,0.21348000000000003,12,7.119,0.80565,1.0838299999999998,2016
12,United States,0.48163,1.50796,,0.41076999999999997,0.14868,13,7.104,0.779,1.04782,2016
13,Costa Rica,0.55225,1.06879,,0.22553,0.10547000000000001,14,7.087000000000001,0.76146,1.02152,2016
14,Puerto Rico,0.46823000000000004,1.35943,,0.22202,0.12275,15,7.039,0.77758,1.08113,2016
15,Germany,0.53466,1.44787,,0.30451999999999996,0.28551,16,6.994,0.81487,1.09774,2016
16,Brazil,0.40425,1.08754,,0.15775999999999998,0.14165999999999998,17,6.952000000000001,0.61415,1.03938,2016
17,Belgium,0.51354,1.42539,,0.2424,0.26248,18,6.928999999999999,0.8195899999999999,1.05249,2016
18,Ireland,0.54008,1.4834100000000001,,0.44963000000000003,0.29754,19,6.907,0.81455,1.16157,2016
19,Luxembourg,0.5487,1.6975200000000001,,0.27571,0.35329,20,6.871,0.8454200000000001,1.03999,2016
20,Mexico,0.37709000000000004,1.1150799999999998,,0.11735,0.18355,21,6.778,0.71143,0.7146,2016
21,Singapore,0.4877,1.64555,,0.32706,0.46986999999999995,22,6.739,0.94719,0.8675799999999999,2016
22,United Kingdom,0.50036,1.40283,,0.50156,0.27399,23,6.725,0.80991,1.0867200000000001,2016
23,Chile,0.37789,1.2167,,0.31595,0.11450999999999999,24,6.705,0.8188300000000001,0.9058700000000001,2016
24,Panama,0.48927,1.18306,,0.2418,0.08423,25,6.7010000000000005,0.70835,0.9891200000000001,2016
25,Argentina,0.42283999999999994,1.15137,,0.10989000000000002,0.07296,26,6.65,0.69711,1.0661200000000002,2016
26,Czech Republic,0.41418,1.30915,,0.09929,0.03986,27,6.596,0.76376,1.00793,2016
27,United Arab Emirates,0.56215,1.57352,,0.26591,0.35561,28,6.5729999999999995,0.72993,0.8711399999999999,2016
28,Uruguay,0.54388,1.18157,,0.18056,0.21394000000000002,29,6.545,0.72183,1.0314299999999998,2016
29,Malta,0.54994,1.30782,,0.56237,0.17554,30,6.4879999999999995,0.80315,1.09879,2016
30,Colombia,0.44735,1.0303200000000001,,0.15625999999999998,0.053989999999999996,31,6.481,0.59659,1.02169,2016
31,France,0.46562,1.39488,,0.1216,0.17808,32,6.478,0.83795,1.00508,2016
32,Thailand,0.49553,1.0893,,0.58696,0.02833,33,6.474,0.64915,1.04477,2016
33,Saudi Arabia,0.37904,1.48953,,0.15457,0.30008,34,6.379,0.59267,0.84829,2016
34,Taiwan,0.32377,1.39729,,0.25495,0.0663,34,6.379,0.79565,0.92624,2016
35,Qatar,0.56679,1.82427,,0.32388,0.48049,36,6.375,0.71723,0.87964,2016
36,Spain,0.37545,1.34253,,0.17665,0.06137000000000001,37,6.361000000000001,0.8789600000000001,1.12945,2016
37,Algeria,0.21006,1.05266,,0.07044,0.16157,38,6.355,0.6180399999999999,0.83309,2016
38,Guatemala,0.50379,0.83454,,0.28808,0.08701,39,6.324,0.5403899999999999,0.8711899999999999,2016
39,Suriname,0.5223399999999999,1.09686,,0.16665,0.12692,40,6.269,0.5093300000000001,0.77866,2016
40,Kuwait,0.43166000000000004,1.61714,,0.15965,0.23669,41,6.239,0.63569,0.8775799999999999,2016
41,Bahrain,0.47375,1.44024,,0.17147,0.25772,42,6.218,0.65696,0.9439700000000001,2016
42,Trinidad and Tobago,0.48453,1.32572,,0.31935,0.01241,43,6.167999999999999,0.52608,0.98569,2016
43,Venezuela,0.19847,1.1336700000000002,,0.0425,0.08304,44,6.084,0.6190399999999999,1.03302,2016
44,Slovakia,0.23390999999999998,1.27973,,0.13837,0.02947,45,6.077999999999999,0.70367,1.0826799999999999,2016
45,El Salvador,0.37269,0.8737,,0.08877,0.10613,46,6.068,0.596,0.80975,2016
46,Malaysia,0.39031,1.25142,,0.41473999999999994,0.09081,47,6.005,0.62366,0.88025,2016
47,Nicaragua,0.46581999999999996,0.69384,,0.29773,0.16292,48,5.992000000000001,0.65213,0.8952100000000001,2016
48,Uzbekistan,0.60848,0.7359100000000001,,0.34326,0.28333,49,5.987,0.50163,1.1681,2016
49,Italy,0.18827,1.35495,,0.16684000000000002,0.02556,50,5.977,0.8510200000000001,1.04167,2016
50,Ecuador,0.4027,0.97306,,0.10074,0.18037,51,5.976,0.68613,0.85974,2016
51,Belize,0.51231,0.87616,,0.23684000000000002,0.10770999999999999,52,5.956,0.45569,0.68655,2016
52,Japan,0.46761,1.3800700000000001,,0.10224,0.18985,53,5.921,0.91491,1.06054,2016
53,Kazakhstan,0.4052,1.22943,,0.15011,0.11132,54,5.919,0.57386,0.95544,2016
54,Moldova,0.25201999999999997,0.69177,,0.19997,0.019030000000000002,55,5.897,0.5230899999999999,0.8313200000000001,2016
55,Russia,0.32682,1.2322799999999998,,0.027360000000000002,0.03586,56,5.856,0.58991,1.05261,2016
56,Poland,0.4519,1.24585,,0.14443,0.055,57,5.835,0.69058,1.04685,2016
57,South Korea,0.25168,1.35948,,0.18824000000000002,0.07716,57,5.835,0.88645,0.7219399999999999,2016
58,Bolivia,0.50961,0.79422,,0.21698,0.07746,59,5.822,0.4697,0.8377899999999999,2016
59,Lithuania,0.18929,1.2692,,0.02025,0.0182,60,5.813,0.64674,1.0641100000000001,2016
60,Belarus,0.29091,1.1306200000000002,,0.13942000000000002,0.17457,61,5.8020000000000005,0.6310399999999999,1.04993,2016
61,North Cyprus,0.43596,1.31141,,0.26322,0.16577999999999998,62,5.771,0.8414200000000001,0.81826,2016
62,Slovenia,0.53164,1.2994700000000001,,0.25738,0.03635,63,5.768,0.79151,1.05613,2016
63,Peru,0.37501999999999996,0.9960200000000001,,0.14527,0.05292,64,5.742999999999999,0.6299399999999999,0.81255,2016
64,Turkmenistan,0.37408,1.08017,,0.22566999999999998,0.28467,65,5.6579999999999995,0.44006000000000006,1.03817,2016
65,Mauritius,0.46145,1.14372,,0.36951,0.05202999999999999,66,5.648,0.66189,0.75695,2016
66,Libya,0.40671999999999997,1.0668799999999998,,0.17087,0.10339000000000001,67,5.615,0.52304,0.95076,2016
67,Latvia,0.27996,1.2178799999999999,,0.17445,0.0889,68,5.56,0.63952,0.95025,2016
68,Cyprus,0.29507,1.31857,,0.27906,0.05227999999999999,69,5.546,0.8488,0.70697,2016
69,Paraguay,0.46235,0.8937299999999999,,0.25296,0.07396,70,5.537999999999999,0.58295,1.11111,2016
70,Romania,0.36712,1.1697,,0.12889,0.006790000000000001,71,5.528,0.67602,0.7280300000000001,2016
71,Estonia,0.41511000000000003,1.2796399999999999,,0.08423,0.18519000000000002,72,5.517,0.68098,1.0516299999999998,2016
72,Jamaica,0.43596999999999997,0.89333,,0.22245,0.04294,73,5.51,0.5946899999999999,0.96372,2016
73,Croatia,0.23906999999999998,1.18649,,0.18434,0.04002,74,5.4879999999999995,0.70524,0.6080899999999999,2016
74,Hong Kong,0.48078999999999994,1.5107,,0.40097,0.31647,75,5.457999999999999,0.9527700000000001,0.87021,2016
75,Somalia,0.5677800000000001,0.0,,0.27225,0.3118,76,5.44,0.11465999999999998,0.33613000000000004,2016
76,Kosovo,0.14396,0.90145,,0.27992,0.06547,77,5.401,0.54,0.66062,2016
77,Turkey,0.23889000000000002,1.1649200000000002,,0.04707,0.12347999999999999,78,5.388999999999999,0.64718,0.8771700000000001,2016
78,Indonesia,0.39237,0.95104,,0.56521,0.00322,79,5.314,0.49373999999999996,0.87625,2016
79,Jordan,0.36023,0.9967299999999999,,0.14262,0.13297,80,5.303,0.60712,0.86216,2016
80,Azerbaijan,0.35327,1.12373,,0.0564,0.17914000000000002,81,5.291,0.54504,0.76042,2016
81,Philippines,0.5485399999999999,0.81217,,0.21674000000000002,0.11757000000000001,82,5.279,0.47036000000000006,0.87877,2016
82,China,0.44011999999999996,1.0278,,0.049589999999999995,0.02745,83,5.245,0.73561,0.79381,2016
83,Bhutan,0.46074,0.8527,,0.48546000000000006,0.1616,84,5.196000000000001,0.49759,0.9083600000000001,2016
84,Kyrgyzstan,0.40212,0.5604399999999999,,0.38432,0.047619999999999996,85,5.185,0.5544899999999999,0.95434,2016
85,Serbia,0.15718,1.03437,,0.20736999999999997,0.04339,86,5.1770000000000005,0.6458,0.81329,2016
86,Bosnia and Herzegovina,0.09511,0.9338299999999999,,0.29889,0.0,87,5.162999999999999,0.7076600000000001,0.64367,2016
87,Montenegro,0.15111,1.07838,,0.17190999999999998,0.12721,88,5.1610000000000005,0.6353300000000001,0.74173,2016
88,Dominican Republic,0.52259,1.02787,,0.21286,0.12372000000000001,89,5.155,0.5766899999999999,0.9949600000000001,2016
89,Morocco,0.25645999999999997,0.8405799999999999,,0.040530000000000004,0.08404,90,5.151,0.5947100000000001,0.38595,2016
90,Hungary,0.1977,1.24142,,0.099,0.044719999999999996,91,5.145,0.67608,0.9316399999999999,2016
